"ID";"Nome";"Logradouro";"Município";"UF";"CEP";"Termo.Convênio";"Valor.Pactuado.pelo.FNDE";"valor_gasto";"situacao"
1007226;"ESCOLA RIACHO SECO - Alto Santo - CE";"ASSENTAMENTO RIACHO SECO";"Alto Santo";"CE";62970000;"22341/2014";942636,34;913456,712663313;"atrasada"
1007227;"Escola das Embrulhadas - Alto Santo - CE";"Sítio embrulhadas";"Alto Santo";"CE";62970000;"22341/2014";1021956;1114111,11960341;"atrasada"
1007234;"Terreno da Escola do Jaguaribe II - Viçosa do Ceará - CE";"Rua SDO";"Viçosa do Ceará";"CE";62300000;"22434/2014";930434,03;834009,695980982;"atrasada"
1007242;"ESCOLA DE ENS. FUND. 18 DE JULHO - Lagoa Grande do Maranhão - MA";"POVOADO VILA KÊNIO";"Lagoa Grande do Maranhão";"MA";65718000;"22586/2014";244467,52;59224,9807953562;"atrasada"
1007243;"ESCOLA DE ENS. FUND. JOÃO PAULO II - Lagoa Grande do Maranhão - MA";"POVOADO ALTO BONITO";"Lagoa Grande do Maranhão";"MA";65718000;"22586/2014";918678,42;411736,182506471;"atrasada"
1008012;"UE JOÃO MARTINS - Apicum-Açu - MA";"Rua Principal do Povoado";"Apicum-Açu";"MA";65275000;"22440/2014";942189,42;958674,807135787;"atrasada"
1008016;"Nova Zutiva. Reserva indígena Arariboa - Arame - MA";"Rua Principal";"Arame";"MA";65945000;"22441/2014";133141,58;32255,0388213689;"atrasada"
1009062;"Conceição do Almeida Crehe Nova";"Loteamento Popular Maria Passos Coni";"Conceição do Almeida";"BA";44540000;"9312/2014";1951071,95;775997,555925682;"atrasada"
1009069;"Creche Municipal Sagrada Familia";"Rua Cirilo Crisóstomo Cezar";"Itatim";"BA";46875000;"9319/2014";1951071,95;971179,303360752;"atrasada"
1009071;"LOTEAMENTO RUA DA CAPELA-SEDE CRECHE TIPO B - Ribeira do Amparo - BA";"Rua C";"Ribeira do Amparo";"BA";48440000;"9322/2014";1611823;955135,169594529;"atrasada"
1009085;"CRECHE SÃO RAIMUNDO";"RUA 03";"São Luís";"MA";65000000;"9059/2014";1209031,22;474096,579018224;"atrasada"
1009087;"PROINFANCIA - RUA HOLANDA - DENDÊ";" RUA HOLANDA";"Fortaleza";"CE";60000000;"11125/2014";1868415,61;537072,176053643;"atrasada"
1009091;"PROINFANCIA - RUA F - GUAJERU ";"RUA F";"Fortaleza";"CE";60000000;"11125/2014";1868415,61;537072,176053643;"atrasada"
1009096;"PROINFÂNCIA - AVENIDA B - PREFEITO JOSÉ WALTER";"AVENIDA  B";"Fortaleza";"CE";60000000;"11125/2014";1868415,61;537072,164289282;"atrasada"
1009097;"PROINFANCIA - AVENIDA K - PREFEITO JOSÉ WALTER ";"AVENIDA K";"Fortaleza";"CE";60000000;"11125/2014";1868415,61;537072,176053643;"atrasada"
1009098;"Creche professora Maria José Marques Muniz";"rua projetada";"Pindaré-Mirim";"MA";65370000;"9061/2014";1842912,08;286276,843679009;"atrasada"
1009104;"AVIAÇÃO";"RUA COSME E DAMIÃO";"Godofredo Viana";"MA";65285000;"10719/2014";1842912,08;275856,099179964;"atrasada"
1009107;"RESIDENCIAL RENASCER";"RUA BACURI";"Chapadinha";"MA";65500000;"9838/2014";1842912,08;572553,697713977;"atrasada"
1009115;"CRECHE - CACIMBÃO DOS TABOSAS";"RUA MARIA CRUZ DE CASTRO";"Paraipaba";"CE";62685000;"11726/2014";1234014,63;184713,355799575;"atrasada"
1009139;"Bairro da Baixinha";"Travessa da Alegria";"Santa Helena";"MA";65208000;"7546/2013";1842912,09;286276,843679009;"atrasada"
1009143;"RESIDENCIAL COCAIS";"RUA PARNARAMA";"Timon";"MA";65630000;"7550/2013";1842912,09;484314,133162901;"atrasada"
1009144;"CRECHE DO SOLDADINHO";"RUA DIDI GOMES";"Vargem Grande";"MA";65430000;"7551/2013";1842912,09;275856,099179964;"atrasada"
1009154;"Terreno Gabiroba I";"Rua dos Vereadores";"Itabira";"MG";35902052;"7558/2013";1819026,65;456852,161232777;"atrasada"
1009155;"Terreno do Boa Esperança";"Rua João Paulo I";"Itabira";"MG";35903612;"7558/2013";1819026,65;456852,161232777;"atrasada"
1009168;"Creche Vila Filomena";"Rua Mato Grosso-Travessa com as Ruas:Antonio Carvalho de LIma e São Francisco";"Demerval Lobão";"PI";64390000;"7586/2013";1881612,36;581286,092876311;"atrasada"
1009170;"Cei Alto do Cabral";"Rua Jatobá";"Sabará";"MG";34505690;"7563/2013";1201737,6;592065,804832359;"atrasada"
1009182;"PAC 2 - CRECHE/PRÉ-ESCOLA  001 - Ourilândia do Norte - PA";"RUA SÃO PAULO";"Ourilândia do Norte";"PA";68390000;"7577/2013";1852534,01;545446,315320347;"atrasada"
1009183;"Creche";"Travessa Tracuateua";"Nova Timboteua";"PA";68730000;"7576/2013";1250909,37;528038,873916103;"atrasada"
1009193;"Bacuri";"Vila Bacuri";"Chaves";"PA";68880000;"7572/2013";971114;150852,260290062;"atrasada"
1009216;"Campo do Bairro São Francisco";"Rua Eduardo Amaral";"Borda da Mata";"MG";37564000;"9150/2014";1201737,6;424101,961649252;"atrasada"
1009223;"Terreno Fênix";"Avenida Jorge Ferraz";"Itabira";"MG";35901229;"12884/2015";1201737,61;373354,381124266;"atrasada"
1009229;"PAC 2 CRECHE/PRE-ESCOLA 001";"RUA: BOA VISTA";"Manhuaçu";"MG";36900000;"9152/2014";1201737,6;NA;"atrasada"
1009245;"Jardim Copacabana";"Avenida 4";"Uberaba";"MG";38046746;"10065/2014";1819026,65;NA;"atrasada"
1009254;"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  003 - Castanhal - PA";"Rua Projetada Dois";"Castanhal";"PA";68744324;"11580/2014";1787374,01;1747655,11932419;"atrasada"
1009268;"Bayeux";"Rua Projetada";"Bayeux";"PB";58306900;"11662/2014";1193834,78;180562,716816458;"atrasada"
1009269;"ÁGUA AZUL";"RUA PROJETADA";"Teixeira";"PB";58735000;"9197/2014";1818475,62;419458,522393342;"atrasada"
1009324;"PAC 2 - CRECHE/PRÉ-ESCOLA  001";"Avenida Chiquinha de Azevedo";"Tupanciretã";"RS";98170000;"9047/2014";1196771,39;235305,837748619;"atrasada"
1009326;"CEI JARDIM GERMÂNICO";"Rua Jardim Germânico";"Blumenau";"SC";89066321;"11572/2014";1249134,11;NA;"atrasada"
1009330;"CMEI Bento Elói Garcia";"Rua 402-C";"Itapema";"SC";88220000;"9039/2014";1888084,32;NA;"atrasada"
1009337;"Terreno do Chã Alan";"Rua Jose de Oliveira";"Frei Paulo";"SE";49514000;"9851/2014";1181161,45;416823,344973401;"atrasada"
1009368;"CMEI MARRECAS";"Rua Renascença";"Francisco Beltrão";"PR";85601510;"8611/2014";1927667,97;288513,930767904;"atrasada"
1009382;"9-Povoado-Marinho - Bequimão - MA";"Rua da Escola Nova";"Bequimão";"MA";65248000;"22451/2014";941953,16;228198,665339463;"atrasada"
